player_name,team_title,position,time,games,goals,assists,shots,key_passes,xG,xA,npg,npxG
"Marius Bülter","FC Cologne","F M S","1578","32","5","4","42","26","3.9796841125935316","4.703826729208231","5","3.9796841125935316"
"Edmond Tapsoba","Bayer Leverkusen","D","2579","29","5","3","29","11","4.23943140450865","1.7085091285407543","5","4.23943140450865"
"Ritsu Doan","Eintracht Frankfurt","D F M S","2425","31","5","5","41","39","4.125860132277012","6.517447140067816","5","4.125860132277012"
"Paul Nebel","Mainz 05","M S","2087","30","5","2","32","41","5.769457034766674","5.342756656929851","5","5.769457034766674"
"Albert Sambi Lokonga","Hamburger SV","M S","1724","26","5","0","19","25","1.667557841166854","1.3766824714839458","5","1.667557841166854"
"Tiago Tomás","VfB Stuttgart","F M S","996","27","5","3","35","11","5.533668488264084","1.2588633932173252","5","5.533668488264084"
"Justin Njinmah","Werder Bremen","D F M S","1963","33","5","0","62","17","6.778727872297168","1.2397968284785748","5","6.778727872297168"
"Danilho Doekhi","Union Berlin","D","3060","34","5","0","45","8","4.879229350015521","0.54770487267524","5","4.879229350015521"
"Derry Scherhant","Freiburg","M S","1253","31","5","1","36","22","3.31635710503906","1.9648405443876982","5","3.31635710503906"
"Stefan Schimmer","FC Heidenheim","F S","737","27","5","1","32","12","5.915202781558037","1.6511298958212137","5","5.915202781558037"
"Andrej Ilic","Union Berlin","F M S","2238","32","5","9","71","30","11.113924760371447","4.753498738631606","5","10.356148082762957"
"Danel Sinani","St. Pauli","F M S","2080","30","5","3","49","45","5.7479472532868385","3.7052691830322146","2","3.4746172204613686"
"Johan Manzambi","Freiburg","M S","2145","27","5","4","51","19","4.023786528035998","3.578555628657341","5","4.023786528035998"
"Bazoumana Touré","Hoffenheim","D F M S","2379","30","5","9","48","44","5.141797917895019","7.229519298300147","5","5.141797917895019"
"Lennart Karl","Bayern Munich","M S","1268","26","5","5","42","23","7.12136466614902","2.79079039208591","5","7.12136466614902"
"Christian Kofane","Bayer Leverkusen","F M S","1231","29","5","4","46","17","8.046371582895517","2.242532966658473","5","8.046371582895517"
"Ernest Poku","Bayer Leverkusen","D M S","1471","29","5","5","27","27","3.727354511618614","3.15851978585124","5","3.727354511618614"
"Ilyas Ansah","Union Berlin","F M S","1960","33","5","1","33","17","3.8260167790576816","1.5223449170589447","5","3.8260167790576816"
"Ransford Königsdörffer","Hamburger SV","F M S","2425","33","5","0","65","20","8.097989899106324","1.2930769845843315","5","7.340213228948414"
"Martin Terrier","Bayer Leverkusen","F M S","667","18","4","1","17","10","3.201124083250761","1.0998335517942905","4","3.201124083250761"
"Nikolas Nartey","VfB Stuttgart","F M S","1255","28","4","3","22","24","4.401471285149455","3.354308173060417","4","4.401471285149455"
