player_name,team_title,minutesPlayed,goals,assists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,expectedGoals,expectedAssists
"Larson","Palmeiras","60","0","0","2","1","0","0","0.41","0.01"
"Marcos Vinícius","Chapecoense","515","0","1","3","0","6","3","0.41","0.59"
"Germán Cano","Fluminense","70","0","0","3","1","0","0","0.41","0"
"Kayky","Internacional","79","0","0","5","2","1","1","0.41","0.11"
"Alan Saldivia","Vasco da Gama","900","0","0","9","1","5","5","0.4","0.18"
"Chiqueti","Athletico","215","0","0","10","2","3","3","0.4","0.13"
"Fabrício Bruno","Cruzeiro","1523","0","0","13","3","7","1","0.4","0.47"
"João Lucas","Remo","483","0","0","3","1","3","3","0.4","0.28"
"Wagner Leonardo","Grêmio","690","0","0","2","0","2","0","0.39","0.03"
"Alan Javier Franco","São Paulo","1075","0","0","4","0","2","3","0.39","0.19"
"Lucas Ramon","São Paulo","984","0","1","7","3","7","11","0.39","1.39"
"Vitinho","Botafogo","1160","0","2","4","0","11","2","0.38","0.82"
"Martinelli","Fluminense","948","0","1","11","4","11","9","0.38","1.08"
"Zé Vitor","Vitória","581","1","0","12","3","6","6","0.38","0.28"
"Luighi Hanri","Palmeiras","167","0","0","6","1","1","1","0.38","0.03"
"Jacy Maranhão","Coritiba","1104","1","0","9","1","3","0","0.38","0.1"
"Matheuzinho","Corinthians","1162","1","1","7","2","21","7","0.38","1.36"
"Matheus Fernandes","Red Bull Bragantino","663","0","1","12","1","6","3","0.37","0.64"
"Lucas Evangelista","Palmeiras","406","0","1","6","0","6","2","0.37","0.57"
"Neto Moura","Mirassol","724","0","0","11","2","3","1","0.37","0.66"
"Gustavo","Coritiba","58","0","0","2","0","0","0","0.36","0.01"
"Robinho Júnior","Santos","46","0","0","1","0","0","0","0.36","0.01"
"Santiago Ramos Mingo","Bahia","1350","0","0","6","4","4","2","0.35","0.22"
"Camilo","Chapecoense","1172","0","0","13","2","10","10","0.35","0.87"
"Enzo","Coritiba","17","0","0","1","0","0","0","0.35","0"
"Facundo Bernal","Fluminense","559","0","0","9","2","1","2","0.35","0.09"
"Jesse Lingard","Corinthians","413","0","1","5","2","4","1","0.35","0.53"
"Alix Vinicius","Red Bull Bragantino","1156","0","0","7","2","4","5","0.34","0.19"
"Ignacio Sosa","Red Bull Bragantino","431","0","0","5","1","8","12","0.34","0.7"
"Sabino","São Paulo","1259","1","1","7","3","3","3","0.34","0.32"
"Bruno Braga Ramos","Athletico","317","0","0","9","7","4","11","0.34","0.12"
"Alan Rodríguez","Internacional","233","0","0","3","0","1","1","0.33","0.16"
"Lucas Oliveira","Mirassol","425","1","0","2","1","2","2","0.33","0.11"
"Dória","São Paulo","234","1","0","3","2","0","0","0.33","0.01"
