player_name,team_title,minutes_played,shots,shots_on_target,goals,key_passes,xgoals,xassists
Luca Bombino,San Diego FC,2848,20,5,1,19,1.5631,2.4515
CJ dos Santos,San Diego FC,3198,0,0,0,0,0.0,0.0
Miles Robinson,FC Cincinnati,2882,16,2,1,7,1.7745,0.3712
Chris Durkin,St. Louis City SC,1225,12,3,0,5,0.7345,0.3558
Prince Owusu,CF Montréal,3120,83,39,13,31,17.6393,4.2387
Maxime Dominguez,Toronto FC,1567,19,3,0,15,1.0572,1.8338
Brandt Bronico,Charlotte FC,2781,21,5,2,12,3.0295,1.9493
Jeppe Tverskov,San Diego FC,3850,22,6,2,45,2.2367,5.8161
Bill Tuiloma,Charlotte FC,469,4,1,1,1,0.2489,0.0783
Pedro Gallese,Orlando City SC,3366,0,0,0,2,0.0,0.5077
Evander,FC Cincinnati,3427,125,56,18,81,8.7903,10.0007
Evan Louro,FC Cincinnati,405,0,0,0,0,0.0,0.0
Dayne St. Clair,Minnesota United FC,3410,0,0,0,0,0.0,0.0
Kyle Smith,Orlando City SC,1359,9,2,0,7,1.0611,1.3645
Walker Zimmerman,Nashville SC,2043,26,4,0,6,2.5098,1.0146
André Franco,Chicago Fire FC,435,5,1,0,12,0.1781,1.9248
Miguel Berry,LA Galaxy,764,8,4,0,10,1.5766,1.0611
Patrick Schulte,Columbus Crew,2825,0,0,0,4,0.0,0.5546
David Schnegg,D.C. United,2994,16,4,0,31,1.6199,3.524
Alan Montes Castro,Sporting Kansas City,509,8,2,0,1,0.8822,0.1154
Gabriel Pec,LA Galaxy,2764,110,44,7,22,10.62,4.7142
Andy Najar,Nashville SC,3116,17,8,2,38,0.9634,4.4527
Sebastian Kowalczyk,Houston Dynamo FC,1702,21,7,1,16,1.3575,1.5906
Cristhian Paredes,Portland Timbers FC,1301,10,2,2,16,0.9726,1.0304
Mamadou Fofana,New England Revolution,2849,5,0,0,3,0.1485,0.464
Javairô Dilrosun,Los Angeles FC,470,12,6,2,3,0.9918,0.3846
Memo Rodríguez,Sporting Kansas City,766,9,1,0,14,0.3468,1.8148
Luciano Acosta,FC Dallas,1912,30,14,5,41,5.3308,5.3691
Žan Kolmanič,Austin FC,965,5,2,1,18,0.2972,2.7951
John Nelson,LA Galaxy,2288,9,1,0,12,0.3445,1.0263
Ian James,Sporting Kansas City,559,1,0,0,0,0.093,0.0
Harbor Miller,LA Galaxy,696,10,1,1,6,1.1624,0.5086
Federico Redondo,Inter Miami CF,1022,3,0,0,3,0.126,0.2581
Dominik Marczuk,Real Salt Lake,1222,19,5,1,9,1.7891,1.4641
Bruno Damiani,Philadelphia Union,2522,79,36,8,28,12.8023,2.4801
Gerardo Valenzuela,FC Cincinnati,971,30,18,5,16,3.3273,1.6264
William Reilly,Atlanta United FC,564,4,2,1,4,0.6386,0.1497
Victor Loturi,CF Montréal,2826,12,7,2,21,1.52,1.7979
Ousseni Bouda,San Jose Earthquakes,1555,41,17,3,19,5.3773,1.9386
Santiago Muñoz,Sporting Kansas City,1011,21,7,3,10,3.9101,0.4504
Rodrigo Schlegel,Orlando City SC,3085,14,4,0,1,0.4762,0.014
Diego Fagundez,LA Galaxy,2684,26,7,6,51,2.7122,4.0293
Zack Steffen,Colorado Rapids,2332,0,0,0,0,0.0,0.0
Nathan Byrne,Charlotte FC,2024,0,0,0,8,0.0,0.6535
Calvin Harris,Colorado Rapids,1480,32,10,5,9,5.3318,1.4603
Ignatius Ganago,New England Revolution,1744,39,15,3,9,5.9222,1.3491
Son Heung-Min,Los Angeles FC,1232,45,26,12,41,6.6889,3.8613
